w,cs
4006.961535,9.533446012
4195.87625,9.215995795
4249.0999,9.523382357
4396.48847,9.528824547
4599.674141,9.539826173
4649.154589,10.099551
4699.036095,9.999980574
4797.907868,10.07451852
4896.556832,9.887220918
4899.18877,10.21838517
4995.818522,9.710202028
5073.774041,10.40247025
5102.432929,10.38124105
5198.352475,10.38017714
5200.302059,10.57321765
5299.11813,10.67213478
5300.120773,10.297095
5347.49567,10.85934062
5398.37982,10.8491541
5497.516179,11.20272357
5547.523015,11.00262557
5598.407164,11.0092044
5747.55036,11.16619415
5796.679883,11.4391895
5996.707228,11.10777284
6094.966275,11.18555447
6193.225321,11.03025991
6289.729742,12.38349574
6394.268502,10.98287855
6491.511713,11.54852183
6493.266339,10.23709649
6594.59598,9.959946292
6645.918786,8.52117172
6693.293683,7.024192656
6694.463434,8.115944849
6695.048309,6.57476418
6709.085316,6.19237788
6744.177832,6.294532115
6788.043478,2.724081057
6795.061982,4.4020733
6796.816607,3.88881064
6845.946131,2.037395065
6893.321028,1.692312215
6895.075654,0.990119913
6944.205177,0.550022301
6944.205177,0.764583321
